"url","Origin","Destination","Number of People","Age","Male Victim","Female Victim","Category","Date","City"
"https://cebudailynews.inquirer.net/208486/8-rescued-from-human-trafficking-at-naia","philippines","UAE",8,,6,2,,"17-12-2018","Manila"
"http://www.crimevoice.com/2018/05/22/human-trafficking-operation-rescued-two-juveniles-arrested-26/","USA","USA",2,"13-17",1,1,"Sexual Exploit","22-05-2018","L.A."
"https://patch.com/california/banning-beaumont/human-trafficking-victim-rescued-inland-empire-sheriff","USA","USA",1,17,0,1,"Sexual Exploit","30-10-2018","California"
"https://ktla.com/2019/03/14/3-teen-human-trafficking-victims-rescued-suspected-pimp-arrested-in-santa-ana-police/","USA","USA",3,"13-16",0,3,"Sexual Exploit","14-03-2019","Santa Ana"
"https://wgno.com/2018/12/20/2-men-arrested-missing-teen-rescued-in-sex-trafficking-raid-at-canal-st-hotel/","Louisiana","Louisiana",1,16,0,1,"Sexual Exploit","15-12-2018","New Orleans"
"https://www.sunstar.com.ph/article/1799619","philippines","philippines",10,,0,17,"Sexual Exploit","01-04-2019",
"http://www.theglobaldispatch.com/california-man-ronald-ean-taylor-pleads-guilty-to-sex-trafficking-of-6-victims-39323/","USA","USA",6,,0,6,"Sexual Exploit","01-11-2014",
"https://www.whec.com/national/man-accused-of-forcing-california-woman-into-prostitution/5277093/","USA","USA",1,,0,1,"Sexual Exploit","13-03-2019",
"https://www.latimes.com/local/lanow/la-me-ln-human-trafficking-sweep-arrests-20170202-story.html",,"usa",55,,,,,,
"http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/","romania","ireland",22,,22,,"Bonded Labour","09/02/2019","northern ireland"
"http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/","china",,3,,3,,,"09/02/2019","northern ireland"
"http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/","china",,7,,,7,"Bonded Labour","09/02/2019","northern ireland"
"http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/",,,13,,,,,"09/02/2019","northern ireland"
"http://www.theglobaldispatch.com/new-report-from-ireland-45-rescued-from-human-trafficking-ring-75286/",,,,,,,,"09/02/2019","northern ireland"
"https://www.justice.gov/usao-ndil/pr/west-suburban-sex-trafficker-sentenced-21-years-federal-prison","usa","usa",5,15,0,5,"prostitution","13/12/2018","CHICAGO"
"https://www.philstar.com/nation/2018/12/24/1879441/9-victims-trafficking-rescued-naia",,"philippines",9,,,,"Bonded Labour","17/12/2018","manila"
"https://www.malaysiakini.com/news/366771","bangladesh","malasiya",59,,,,"Bonded Labour","20/12/2018","kuala lumpur"
"https://www.justice.gov/usao-sdny/pr/us-attorney-announces-charges-against-19-defendants-sex-trafficking-minor-girls-and","usa","usa",15,"minor",0,15,"prostitution","13/12/2018","Westchester County"
"https://www.pe.com/2017/08/17/2-human-trafficking-victims-rescued-l-a-man-arrested-in-chino-raid/",,"usa",2,,,2,"prostitution","16/08/2017","los angeles"
"https://punchng.com/103-victims-of-human-trafficking-rescued-in-osun-naptip/",,"nigeria",103,,25,78,,"06/08/2018","osun"
"https://www.justice.gov/usao-nj/pr/indian-national-arrested-and-charged-smuggling-foreign-nationals-united-states-commercial","india","usa",6,,0,6,"prostitution","10/12/2018",
"https://cebudailynews.inquirer.net/208486/8-rescued-from-human-trafficking-at-naia",,"philippines",,,6,2,"Bonded Labour","17/12/2018","manila"
"https://wgno.com/2018/12/20/2-men-arrested-missing-teen-rescued-in-sex-trafficking-raid-at-canal-st-hotel/",,"usa",1,16,,1,"prostitution","20/12/2018","new orleans"
"https://guardian.ng/news/naptip-police-raid-abuja-hotel-rescue-three-sexual-exploitation-victims/",,,,,,,,,
"https://nairobinews.nation.co.ke/news/eritreans-rescued-human-traffickers","Eritrea","Kenya",8,"17-31",,,,"29/03/2019",
"https://nairobinews.nation.co.ke/news/eritreans-rescued-human-traffickers","eritrea","Kenya",25,"24-33",0,25,"Sexual Exploit","28/03/2019",
"http://www.daily-sun.com/post/381380/22-Rohingyas-7-Bangladeshi-rescued-while-trafficking","Bangladesh","Malayasia",29,,6,16,"Smuggling","30/03/2019",
"https://www.azfamily.com/news/us_world_news/police--year-old-man-arrested-for-child-trafficking-beat/article_79217e79-97dc-5714-b999-69fc9721b896.html","USA","USA",1,16,0,1,"Sexual Exploit","26/03/2019","New Orleans"
